id,name,level
ES-C,A Coruña,province
ES-AB,Albacete,province
ES-A,Alicante,province
ES-AL,Almería,province
ES-AN,Andalusien,
ES-AS,Asturien,autonomous community
ES-BA,Badajoz,province
ES-IB,Baleariske Øer,autonomous community
ES-B,Barcelona,province
ES-BU,Burgos,province
ES-CA,Cádiz,province
ES-S,Kantabrien,province
ES-CM,Castilla-La Mancha,autonomous community
ES-CL,Castilla y León,autonomous community
ES-CT,Catalonien,autonomous community
ES-CE,Ceuta,autonomous city
ES-CR,Ciudad Real,province
ES-CU,Cuenca,province
ES-EX,Extremadura,autonomous community
ES-GA,Galicien,autonomous community
ES-SS,Guipúzcoa,province
ES-GI,Girona,province
ES-GR,Granada,province
ES-GU,Guadalajara,province
ES-H,Huelva,province
ES-GC,Las Palmas de Gran Canaria,province
ES-LE,Leon,province
ES-L,Lleida,province
ES-LU,Lugo,province
ES-MD,Madrid,autonomous community
ES-ML,Melilla,autonomous city
ES-MC,Murcia,autonomous community
ES-MA,Málaga,province
ES-NC,Navarra,autonomous community
ES-SA,Salamanca,province
ES-TF,Santa Cruz de Tenerife,province
ES-SE,Sevilla,province
ES-T,Tarragona,province
ES-TO,Toledo,province
ES-V,Valencia,province
ES-VC,Valencia,autonomous community
ES-VA,Valladolid,province
ES-Z,Zaragoza,province
ES-VI,Álava,province
